time, s, i, r
0, 3285, 1, 0
1, 3284, 2, 0
2, 3277, 9, 0
3, 3268, 18, 0
4, 3267, 19, 0
5, 3267, 18, 1
6, 3267, 17, 2
7, 3267, 13, 6
8, 3267, 6, 13
9, 3267, 1, 18
10, 3267, 0, 19
