time, s, e, i, r
0, 3276, 0, 10, 0
1, 3195, 81, 10, 0
2, 3166, 110, 10, 0
3, 3141, 135, 10, 0
4, 3125, 107, 54, 0
5, 2946, 238, 102, 0
6, 2828, 332, 126, 0
7, 2776, 362, 148, 0
8, 2737, 272, 277, 0
9, 2625, 247, 414, 0
10, 2549, 249, 488, 0
11, 2490, 265, 521, 10
12, 2443, 224, 609, 10
13, 2392, 185, 655, 54
14, 2347, 164, 673, 102
15, 2309, 156, 695, 126
16, 2289, 126, 723, 148
17, 2256, 101, 652, 277
18, 2228, 96, 548, 414
19, 2213, 86, 499, 488
20, 2200, 70, 485, 531
21, 2188, 51, 428, 619
22, 2177, 46, 354, 709
23, 2166, 39, 306, 775
24, 2155, 40, 270, 821
25, 2149, 30, 236, 871
26, 2144, 23, 190, 929
27, 2137, 22, 165, 962
28, 2129, 23, 147, 987
29, 2127, 19, 124, 1016
30, 2124, 17, 98, 1047
31, 2118, 16, 89, 1063
32, 2113, 15, 77, 1081
33, 2111, 13, 71, 1091
34, 2108, 13, 58, 1107
35, 2108, 6, 53, 1119
36, 2101, 11, 47, 1127
37, 2099, 11, 42, 1134
38, 2097, 11, 38, 1140
39, 2095, 10, 36, 1145
40, 2093, 8, 33, 1152
41, 2091, 7, 30, 1158
42, 2089, 6, 29, 1162
43, 2089, 6, 26, 1165
44, 2089, 3, 22, 1172
45, 2089, 2, 21, 1174
46, 2089, 0, 21, 1176
47, 2087, 2, 19, 1178
48, 2087, 2, 16, 1181
49, 2087, 2, 12, 1185
50, 2087, 2, 9, 1188
51, 2087, 0, 8, 1191
52, 2087, 0, 8, 1191
53, 2087, 0, 5, 1194
54, 2087, 0, 4, 1195
55, 2087, 0, 2, 1197
56, 2087, 0, 2, 1197
57, 2087, 0, 2, 1197
58, 2087, 0, 2, 1197
59, 2087, 0, 2, 1197
60, 2087, 0, 0, 1199
