time, s, e, i, r
0, 3276, 0, 10, 0
1, 3207, 69, 10, 0
2, 3173, 103, 10, 0
3, 3148, 128, 10, 0
4, 3132, 115, 39, 0
5, 3078, 117, 91, 0
6, 2998, 167, 121, 0
7, 2946, 194, 146, 0
8, 2885, 227, 174, 0
9, 2822, 208, 256, 0
10, 2773, 196, 317, 0
11, 2710, 196, 370, 10
12, 2660, 191, 425, 10
13, 2626, 163, 458, 39
14, 2593, 143, 459, 91
15, 2573, 101, 491, 121
16, 2553, 90, 497, 146
17, 2526, 76, 510, 174
18, 2501, 81, 448, 256
19, 2493, 68, 408, 317
20, 2482, 56, 368, 380
21, 2466, 47, 338, 435
22, 2453, 43, 293, 497
23, 2437, 49, 250, 550
24, 2426, 49, 199, 612
25, 2414, 47, 182, 643
26, 2404, 42, 156, 684
27, 2397, 33, 152, 704
28, 2383, 35, 143, 725
29, 2374, 36, 128, 748
30, 2369, 30, 114, 773
31, 2366, 19, 111, 790
32, 2360, 16, 110, 800
33, 2357, 16, 102, 811
34, 2355, 13, 93, 825
35, 2350, 12, 84, 840
36, 2348, 11, 71, 856
37, 2346, 9, 63, 868
38, 2344, 7, 59, 876
39, 2342, 7, 50, 887
40, 2341, 5, 39, 901
41, 2341, 5, 30, 910
42, 2341, 3, 29, 913
43, 2340, 2, 26, 918
44, 2338, 3, 21, 924
45, 2338, 3, 18, 927
46, 2338, 2, 15, 931
47, 2338, 2, 11, 935
48, 2338, 0, 11, 937
49, 2338, 0, 8, 940
50, 2338, 0, 8, 940
51, 2338, 0, 6, 942
52, 2338, 0, 4, 944
53, 2338, 0, 3, 945
54, 2338, 0, 3, 945
55, 2338, 0, 2, 946
56, 2338, 0, 2, 946
57, 2338, 0, 0, 948
