time, s, e, i, r
0, 3276, 0, 10, 0
1, 3201, 75, 10, 0
2, 3164, 112, 10, 0
3, 3148, 128, 10, 0
4, 3129, 118, 39, 0
5, 3120, 69, 97, 0
6, 3101, 54, 131, 0
7, 3096, 43, 147, 0
8, 3093, 33, 160, 0
9, 3087, 19, 180, 0
10, 3082, 17, 187, 0
11, 3079, 15, 182, 10
12, 3077, 15, 184, 10
13, 3074, 12, 161, 39
14, 3072, 9, 108, 97
15, 3067, 11, 77, 131
16, 3065, 11, 63, 147
17, 3062, 11, 53, 160
18, 3061, 7, 38, 180
19, 3059, 7, 33, 187
20, 3050, 13, 31, 192
21, 3048, 13, 31, 194
22, 3048, 12, 26, 200
23, 3048, 5, 28, 205
24, 3045, 4, 29, 208
25, 3043, 5, 28, 210
26, 3043, 5, 25, 213
27, 3043, 4, 21, 218
28, 3043, 0, 23, 220
29, 3041, 2, 20, 223
30, 3040, 3, 18, 225
31, 3040, 3, 17, 226
32, 3039, 2, 12, 233
33, 3039, 1, 9, 237
34, 3039, 1, 8, 238
35, 3039, 0, 9, 238
36, 3038, 1, 8, 239
37, 3038, 1, 4, 243
38, 3038, 1, 4, 243
39, 3038, 1, 4, 243
40, 3038, 0, 5, 243
41, 3038, 0, 3, 245
42, 3038, 0, 2, 246
43, 3038, 0, 2, 246
44, 3038, 0, 1, 247
45, 3038, 0, 1, 247
46, 3038, 0, 1, 247
47, 3038, 0, 1, 247
48, 3038, 0, 1, 247
49, 3038, 0, 0, 248
