time, s, e, i, r
0, 3276, 0, 10, 0
1, 3201, 75, 10, 0
2, 3166, 110, 10, 0
3, 3141, 135, 10, 0
4, 3124, 119, 43, 0
5, 2991, 196, 99, 0
6, 2859, 300, 127, 0
7, 2836, 301, 149, 0
8, 2835, 207, 244, 0
9, 2820, 78, 388, 0
10, 2802, 42, 442, 0
11, 2796, 40, 440, 10
12, 2791, 33, 452, 10
13, 2786, 27, 430, 43
14, 2782, 17, 388, 99
15, 2778, 15, 366, 127
16, 2774, 16, 347, 149
17, 2773, 12, 257, 244
18, 2772, 6, 120, 388
19, 2768, 6, 70, 442
20, 2767, 6, 63, 450
21, 2767, 5, 52, 462
22, 2766, 3, 44, 473
23, 2765, 2, 32, 487
24, 2764, 3, 26, 493
25, 2763, 3, 24, 496
26, 2763, 3, 19, 501
27, 2763, 1, 14, 508
28, 2763, 0, 11, 512
29, 2763, 0, 10, 513
30, 2763, 0, 9, 514
31, 2763, 0, 6, 517
32, 2763, 0, 4, 519
33, 2763, 0, 4, 519
34, 2763, 0, 3, 520
35, 2763, 0, 3, 520
36, 2763, 0, 1, 522
37, 2763, 0, 0, 523
