"effort","total_infected"
0,1256
0.01,1328
0.06,1298
0.11,1320
0.16,1131
0.21,1093
0.26,1038
0.31,858
0.36,785
0.41,751
0.46,677
0.51,567
0.56,495
0.61,386
0.66,321
0.71,285
0.76,209
0.81,160
0.86,107
0.91,59
0.96,10
