"effort","total_infected"
0,3273
0.01,3172
0.02,3074
0.03,2926
0.04,2776
0.05,2670
0.06,2594
0.07,2503
0.08,2198
0.09,1920
0.1,1551
0.11,1197
0.12,865
0.13,191
0.14,102
0.15,97
0.16,96
0.17,79
0.18,79
0.19,62
0.2,62
0.21,59
0.22,59
0.23,59
0.24,59
0.25,53
0.26,50
0.27,48
0.28,48
0.29,43
0.3,43
0.31,43
0.32,39
0.33,39
0.34,39
0.35,39
0.36,39
0.37,39
0.38,39
0.39,39
0.4,39
0.41,39
0.42,39
0.43,39
0.44,39
0.45,39
0.46,39
0.47,39
0.48,39
0.49,39
0.5,39
0.51,39
0.52,39
0.53,39
0.54,39
0.55,39
0.56,39
0.57,39
0.58,39
0.59,39
0.6,39
0.61,39
0.62,39
0.63,39
0.64,39
0.65,39
0.66,39
0.67,39
0.68,39
0.69,39
0.7,39
0.71,39
0.72,39
0.73,39
0.74,39
0.75,39
0.76,39
0.77,39
0.78,39
0.79,39
0.8,39
0.81,39
0.82,39
0.83,39
0.84,39
0.85,39
0.86,39
0.87,39
0.88,39
0.89,39
0.9,39
0.91,39
0.92,39
0.93,39
0.94,39
0.95,39
0.96,39
0.97,39
0.98,39
0.99,39
1.0,39
