"effort","total_infected"
0,3273
0.01,3172
0.02,3074
0.03,2926
0.04,2776
0.05,2670
0.06,2594
0.07,2503
0.08,2198
0.09,1917
0.1,1545
0.11,1127
0.12,822
0.13,192
0.14,62
0.15,62
0.16,62
0.17,55
0.18,55
0.19,55
0.2,55
0.21,55
0.22,48
0.23,48
0.24,48
0.25,48
0.26,46
0.27,46
0.28,34
0.29,34
0.3,28
0.31,28
0.32,28
0.33,28
0.34,23
0.35,23
0.36,23
0.37,23
0.38,23
0.39,23
0.4,23
0.41,23
0.42,23
0.43,23
0.44,23
0.45,23
0.46,23
0.47,23
0.48,23
0.49,23
0.5,23
0.51,20
0.52,20
0.53,20
0.54,20
0.55,20
0.56,20
0.57,20
0.58,20
0.59,20
0.6,20
0.61,20
0.62,20
0.63,20
0.64,20
0.65,20
0.66,20
0.67,20
0.68,20
0.69,20
0.7,20
0.71,20
0.72,20
0.73,20
0.74,20
0.75,20
0.76,20
0.77,20
0.78,20
0.79,20
0.8,20
0.81,20
0.82,20
0.83,20
0.84,20
0.85,20
0.86,20
0.87,20
0.88,20
0.89,20
0.9,20
0.91,20
0.92,20
0.93,20
0.94,20
0.95,20
0.96,20
0.97,20
0.98,20
0.99,20
1.0,20
