"effort","total_infected"
0,3273
0.01,3172
0.02,3074
0.03,2926
0.04,2776
0.05,2670
0.06,2594
0.07,2503
0.08,110
0.09,110
0.1,110
0.11,110
0.12,110
0.13,110
0.14,110
0.15,50
0.16,50
0.17,50
0.18,5
0.19,5
0.2,5
0.21,5
0.22,5
0.23,5
0.24,5
0.25,5
0.26,5
0.27,5
0.28,5
0.29,5
0.3,5
0.31,5
0.32,5
0.33,5
0.34,5
0.35,5
0.36,5
0.37,5
0.38,5
0.39,5
0.4,5
0.41,5
0.42,5
0.43,5
0.44,5
0.45,4
0.46,4
0.47,4
0.48,4
0.49,4
0.5,4
0.51,4
0.52,4
0.53,4
0.54,4
0.55,4
0.56,4
0.57,4
0.58,4
0.59,4
0.6,4
0.61,4
0.62,4
0.63,4
0.64,4
0.65,4
0.66,4
0.67,4
0.68,4
0.69,4
0.7,4
0.71,4
0.72,4
0.73,4
0.74,4
0.75,4
0.76,4
0.77,4
0.78,4
0.79,4
0.8,4
0.81,4
0.82,4
0.83,4
0.84,4
0.85,4
0.86,4
0.87,4
0.88,4
0.89,4
0.9,4
0.91,4
0.92,4
0.93,4
0.94,4
0.95,4
0.96,4
0.97,4
0.98,4
0.99,4
1.0,4
