time, s, e, i, r
0, 3276, 0, 10, 0
1, 3199, 77, 10, 0
2, 3166, 110, 10, 0
3, 3165, 111, 10, 0
4, 3165, 75, 46, 0
5, 3156, 32, 98, 0
6, 3144, 21, 121, 0
7, 3136, 29, 121, 0
8, 3134, 27, 125, 0
9, 3130, 14, 142, 0
10, 3125, 15, 146, 0
11, 3120, 15, 141, 10
12, 3114, 18, 144, 10
13, 3112, 16, 112, 46
14, 3110, 12, 66, 98
15, 3106, 13, 46, 121
16, 3106, 7, 52, 121
17, 3102, 9, 50, 125
18, 3102, 7, 35, 142
19, 3102, 4, 34, 146
20, 3101, 3, 31, 151
21, 3100, 2, 30, 154
22, 3096, 6, 26, 158
23, 3092, 9, 21, 164
24, 3091, 10, 18, 167
25, 3091, 8, 14, 173
26, 3091, 2, 18, 175
27, 3091, 1, 17, 177
28, 3090, 1, 15, 180
29, 3088, 3, 13, 182
30, 3087, 4, 11, 184
31, 3087, 3, 12, 184
32, 3085, 3, 13, 185
33, 3084, 3, 14, 185
34, 3083, 4, 12, 187
35, 3082, 4, 7, 193
36, 3081, 3, 8, 194
37, 3079, 4, 8, 195
38, 3079, 3, 9, 195
39, 3079, 3, 9, 195
40, 3079, 0, 11, 196
41, 3079, 0, 9, 198
42, 3079, 0, 8, 199
43, 3079, 0, 8, 199
44, 3079, 0, 7, 200
45, 3079, 0, 5, 202
46, 3079, 0, 4, 203
47, 3079, 0, 3, 204
48, 3079, 0, 3, 204
49, 3079, 0, 0, 207
