time, s, i, r
0, 3285, 1, 0
1, 3284, 2, 0
2, 3284, 2, 0
3, 3276, 10, 0
4, 3233, 53, 0
5, 2982, 303, 1
6, 2342, 943, 1
7, 896, 2388, 2
8, 337, 2939, 10
9, 101, 3161, 24
10, 41, 3084, 161
11, 25, 2504, 757
12, 17, 1233, 2036
13, 15, 457, 2814
14, 14, 136, 3136
15, 13, 51, 3222
16, 13, 19, 3254
17, 13, 6, 3267
18, 13, 4, 3269
19, 13, 1, 3272
20, 13, 0, 3273
