time, s, i, r
0, 3285, 1, 0
1, 3284, 2, 0
2, 3284, 2, 0
3, 3276, 10, 0
4, 3013, 273, 0
5, 2035, 1250, 1
6, 1035, 2250, 1
7, 277, 3007, 2
8, 126, 3151, 9
9, 51, 3063, 172
10, 25, 2408, 853
11, 19, 1257, 2010
12, 16, 459, 2811
13, 15, 158, 3113
14, 13, 51, 3222
15, 13, 27, 3246
16, 13, 8, 3265
17, 13, 5, 3268
18, 13, 3, 3270
19, 13, 0, 3273
