time, s, i, r
0, 3285, 1, 0
1, 3282, 4, 0
2, 3282, 4, 0
3, 3141, 145, 0
4, 2937, 349, 0
5, 1998, 1287, 1
6, 813, 2472, 1
7, 377, 2905, 4
8, 117, 3074, 95
9, 63, 2993, 230
10, 33, 2255, 998
11, 21, 1132, 2133
12, 15, 459, 2812
13, 15, 164, 3107
14, 13, 66, 3207
15, 13, 30, 3243
16, 13, 15, 3258
17, 13, 5, 3268
18, 13, 2, 3271
19, 13, 0, 3273
