time, s, i, r
0, 3285, 1, 0
1, 3275, 11, 0
2, 3267, 19, 0
3, 3102, 184, 0
4, 1983, 1303, 0
5, 852, 2433, 1
6, 447, 2836, 3
7, 134, 3141, 11
8, 53, 3069, 164
9, 27, 2194, 1065
10, 21, 1152, 2113
11, 15, 536, 2735
12, 15, 182, 3089
13, 13, 63, 3210
14, 13, 25, 3248
15, 13, 10, 3263
16, 13, 5, 3268
17, 13, 2, 3271
18, 13, 0, 3273
