time, s, i, r
0, 3285, 1, 0
1, 3284, 2, 0
2, 3202, 84, 0
3, 2517, 769, 0
4, 1121, 2165, 0
5, 522, 2763, 1
6, 237, 3047, 2
7, 65, 3168, 53
8, 30, 2780, 476
9, 21, 1446, 1819
10, 14, 693, 2579
11, 14, 283, 2989
12, 12, 85, 3189
13, 12, 33, 3241
14, 12, 10, 3264
15, 12, 6, 3268
16, 12, 2, 3272
17, 12, 0, 3274
