time, s, i, r
0, 3285, 1, 0
1, 3270, 16, 0
2, 2896, 390, 0
3, 1482, 1804, 0
4, 636, 2650, 0
5, 295, 2990, 1
6, 102, 3176, 8
7, 43, 3016, 227
8, 25, 1826, 1435
9, 19, 844, 2423
10, 15, 363, 2908
11, 15, 126, 3145
12, 13, 46, 3227
13, 13, 20, 3253
14, 13, 8, 3265
15, 13, 5, 3268
16, 13, 2, 3271
17, 13, 0, 3273
