time, s, i, r
0, 3285, 1, 0
1, 3281, 5, 0
2, 3176, 110, 0
3, 2762, 524, 0
4, 1595, 1691, 0
5, 637, 2648, 1
6, 333, 2949, 4
7, 111, 3133, 42
8, 60, 2859, 367
9, 31, 1889, 1366
10, 21, 898, 2367
11, 15, 386, 2885
12, 15, 148, 3123
13, 13, 61, 3212
14, 13, 28, 3245
15, 13, 14, 3259
16, 13, 5, 3268
17, 13, 2, 3271
18, 13, 0, 3273
