time, s, i, r
0, 3285, 1, 0
1, 3280, 6, 0
2, 3112, 174, 0
3, 2051, 1235, 0
4, 980, 2306, 0
5, 461, 2824, 1
6, 226, 3054, 6
7, 76, 3069, 141
8, 36, 2411, 839
9, 22, 1255, 2009
10, 17, 591, 2678
11, 15, 270, 3001
12, 14, 89, 3183
13, 13, 38, 3235
14, 13, 14, 3259
15, 13, 7, 3266
16, 13, 3, 3270
17, 13, 1, 3272
18, 13, 0, 3273
