time, s, i, r
0, 3285, 1, 0
1, 3276, 10, 0
2, 3107, 179, 0
3, 2497, 789, 0
4, 1604, 1682, 0
5, 486, 2799, 1
6, 192, 3091, 3
7, 63, 3120, 103
8, 29, 2784, 473
9, 21, 1831, 1434
10, 16, 728, 2542
11, 15, 246, 3025
12, 13, 73, 3200
13, 13, 37, 3236
14, 13, 10, 3263
15, 13, 6, 3267
16, 13, 3, 3270
17, 13, 0, 3273
