time, s, i, r
0, 3285, 1, 0
1, 3276, 10, 0
2, 3276, 10, 0
3, 2872, 414, 0
4, 1619, 1667, 0
5, 784, 2501, 1
6, 323, 2962, 1
7, 114, 3162, 10
8, 61, 3022, 203
9, 31, 2034, 1221
10, 21, 1003, 2262
11, 16, 422, 2848
12, 15, 147, 3124
13, 14, 62, 3210
14, 13, 28, 3245
15, 13, 15, 3258
16, 13, 5, 3268
17, 13, 3, 3270
18, 13, 1, 3272
19, 13, 0, 3273
