time, s, i, r
0, 3285, 1, 0
1, 3282, 4, 0
2, 3230, 56, 0
3, 3203, 83, 0
4, 2938, 348, 0
5, 1928, 1357, 1
6, 770, 2512, 4
7, 371, 2885, 30
8, 122, 3092, 72
9, 51, 3046, 189
10, 26, 2206, 1054
11, 21, 1043, 2222
12, 15, 458, 2813
13, 15, 160, 3111
14, 13, 59, 3214
15, 13, 25, 3248
16, 13, 10, 3263
17, 13, 5, 3268
18, 13, 2, 3271
19, 13, 0, 3273
