time, s, i, r
0, 3285, 1, 0
1, 3283, 3, 0
2, 3282, 4, 0
3, 3269, 17, 0
4, 3238, 48, 0
5, 2900, 385, 1
6, 2345, 939, 2
7, 1261, 2022, 3
8, 370, 2908, 8
9, 118, 3150, 18
10, 43, 3013, 230
11, 24, 2664, 598
12, 17, 1529, 1740
13, 15, 561, 2710
14, 14, 164, 3108
15, 13, 51, 3222
16, 13, 21, 3252
17, 13, 6, 3267
18, 13, 4, 3269
19, 13, 1, 3272
20, 13, 0, 3273
