time, s, i, r
0, 3285, 1, 0
1, 3284, 2, 0
2, 3284, 2, 0
3, 3283, 3, 0
4, 3282, 4, 0
5, 3281, 4, 1
6, 3281, 4, 1
7, 3237, 47, 2
8, 2867, 416, 3
9, 2279, 1003, 4
10, 1235, 2047, 4
11, 374, 2907, 5
12, 162, 3079, 45
13, 52, 2972, 262
14, 24, 2548, 714
15, 16, 1529, 1741
16, 12, 559, 2715
17, 11, 200, 3075
18, 9, 65, 3212
19, 9, 32, 3245
20, 9, 9, 3268
21, 9, 6, 3271
22, 9, 3, 3274
23, 9, 0, 3277
