"effort","total_infected, edges_closed"
0,1229
0.01,1236
0.06,1366
0.11,1388
0.16,1428
0.21,1448
0.26,1519
0.31,1517
0.36,1541
0.41,1571
0.46,1622
0.51,1628
0.56,1617
0.61,1644
0.66,1488
0.71,1373
0.76,929
0.81,679
0.86,327
0.91,34
0.96,14
