"effort","total_infected"
0,3286
0.01,3019
0.06,1682
0.11,806
0.16,658
0.21,404
0.26,56
0.31,29
0.36,13
0.41,11
0.46,6
0.51,6
0.56,5
0.61,3
0.66,3
0.71,3
0.76,3
0.81,2
0.86,2
0.91,2
0.96,1
