time, s, e, i, r
0, 3276, 0, 10, 0
1, 3200, 76, 10, 0
2, 3161, 115, 10, 0
3, 3132, 144, 10, 0
4, 3117, 124, 45, 0
5, 2978, 210, 98, 0
6, 2903, 247, 136, 0
7, 2850, 279, 157, 0
8, 2810, 235, 241, 0
9, 2722, 211, 353, 0
10, 2641, 235, 410, 0
11, 2587, 240, 449, 10
12, 2528, 228, 520, 10
13, 2486, 182, 573, 45
14, 2448, 160, 580, 98
15, 2429, 120, 601, 136
16, 2397, 109, 623, 157
17, 2376, 90, 579, 241
18, 2348, 89, 496, 353
19, 2339, 69, 468, 410
20, 2318, 65, 444, 459
21, 2300, 59, 397, 530
22, 2287, 54, 327, 618
23, 2274, 55, 279, 678
24, 2266, 40, 243, 737
25, 2250, 43, 213, 780
26, 2242, 37, 187, 820
27, 2235, 34, 168, 849
28, 2226, 28, 154, 878
29, 2222, 23, 138, 903
30, 2217, 21, 121, 927
31, 2214, 19, 108, 945
32, 2210, 13, 106, 957
33, 2208, 11, 87, 980
34, 2207, 9, 77, 993
35, 2204, 7, 68, 1007
36, 2201, 8, 60, 1017
37, 2201, 6, 47, 1032
38, 2200, 6, 39, 1041
39, 2200, 3, 35, 1048
40, 2199, 2, 32, 1053
41, 2199, 2, 22, 1063
42, 2199, 1, 19, 1067
43, 2199, 0, 17, 1070
44, 2199, 0, 12, 1075
45, 2199, 0, 10, 1077
46, 2199, 0, 8, 1079
47, 2199, 0, 7, 1080
48, 2199, 0, 4, 1083
49, 2199, 0, 2, 1085
50, 2199, 0, 2, 1085
51, 2199, 0, 1, 1086
52, 2199, 0, 0, 1087
