"effort","total_infected"
0,1239
0.01,1214
0.06,1183
0.11,1071
0.16,1019
0.21,952
0.26,876
0.31,812
0.36,749
0.41,692
0.46,652
0.51,589
0.56,580
0.61,514
0.66,483
0.71,455
0.76,398
0.81,392
0.86,312
0.91,305
0.96,268
