time, s, e, i, r
0, 3276, 0, 10, 0
1, 3168, 108, 10, 0
2, 3123, 153, 10, 0
3, 3093, 183, 10, 0
4, 3071, 137, 78, 0
5, 2863, 280, 143, 0
6, 2844, 263, 179, 0
7, 2834, 243, 209, 0
8, 2832, 124, 330, 0
9, 2830, 29, 427, 0
10, 2819, 22, 445, 0
11, 2811, 23, 442, 10
12, 2807, 25, 444, 10
13, 2800, 24, 384, 78
14, 2794, 20, 329, 143
15, 2791, 18, 298, 179
16, 2787, 17, 273, 209
17, 2784, 15, 157, 330
18, 2784, 9, 66, 427
19, 2781, 8, 52, 445
20, 2780, 6, 48, 452
21, 2778, 6, 48, 454
22, 2778, 4, 42, 462
23, 2776, 5, 33, 472
24, 2775, 4, 30, 477
25, 2775, 3, 26, 482
26, 2774, 4, 21, 487
27, 2771, 4, 18, 493
28, 2770, 5, 14, 497
29, 2770, 4, 12, 500
30, 2770, 3, 11, 502
31, 2770, 1, 11, 504
32, 2769, 1, 11, 505
33, 2769, 1, 9, 507
34, 2769, 1, 8, 508
35, 2769, 0, 9, 508
36, 2769, 0, 6, 511
37, 2769, 0, 6, 511
38, 2769, 0, 5, 512
39, 2769, 0, 4, 513
40, 2769, 0, 2, 515
41, 2769, 0, 1, 516
42, 2769, 0, 1, 516
43, 2769, 0, 1, 516
44, 2769, 0, 0, 517
