"effort","total_infected"
0,3273
0.01,3261
0.06,3202
0.11,3074
0.16,2999
0.21,2935
0.26,2812
0.31,2738
0.36,2665
0.41,2593
0.46,2492
0.51,2415
0.56,2239
0.61,2097
0.66,1903
0.71,1743
0.76,1564
0.81,1387
0.86,1
0.91,1
0.96,1
