"effort","total_infected"
0,3286
0.01,3253
0.06,3005
0.11,2805
0.16,2633
0.21,2418
0.26,2205
0.31,2001
0.36,1782
0.41,1593
0.46,1435
0.51,1273
0.56,1039
0.61,1
0.66,1
0.71,1
0.76,1
0.81,1
0.86,1
0.91,1
0.96,1
