"effort","total_infected"
0,3273
0.01,3267
0.06,3199
0.11,3125
0.16,3104
0.21,2947
0.26,2861
0.31,2695
0.36,2636
0.41,2
0.46,1
0.51,1
0.56,1
0.61,1
0.66,1
0.71,1
0.76,1
0.81,1
0.86,1
0.91,1
0.96,1
