"effort","total_infected, edges_closed"
0,1261
0.01,1293
0.06,1442
0.11,1484
0.16,1519
0.21,1582
0.26,1630
0.31,1640
0.36,1712
0.41,1775
0.46,1789
0.51,1867
0.56,1880
0.61,1382
0.66,1026
0.71,498
0.76,408
0.81,413
0.86,417
0.91,400
0.96,397
