"effort","total_infected, edges_closed"
0,1241
0.01,1340
0.06,1366
0.11,1433
0.16,1524
0.21,1534
0.26,1638
0.31,1640
0.36,1707
0.41,1780
0.46,1798
0.51,1838
0.56,1855
0.61,1652
0.66,1167
0.71,477
0.76,450
0.81,443
0.86,445
0.91,441
0.96,441
