"effort","total_infected, edges_closed"
0,1219
0.01,1232
0.06,1269
0.11,1245
0.16,1268
0.21,1254
0.26,1272
0.31,1208
0.36,1275
0.41,1252
0.46,1258
0.51,1252
0.56,1250
0.61,1280
0.66,1228
0.71,1247
0.76,1248
0.81,1263
0.86,1261
0.91,1276
0.96,1277
