"effort","total_infected, edges_closed"
0,1271
0.01,1302
0.06,1396
0.11,1470
0.16,1466
0.21,1595
0.26,1596
0.31,1671
0.36,1718
0.41,1763
0.46,1850
0.51,1899
0.56,1834
0.61,1658
0.66,1220
0.71,459
0.76,412
0.81,416
0.86,416
0.91,420
0.96,426
