"effort","total_infected, edges_closed"
0,1236
0.01,1285
0.06,1377
0.11,1439
0.16,1479
0.21,1549
0.26,1587
0.31,1622
0.36,1691
0.41,1749
0.46,1800
0.51,1856
0.56,1795
0.61,1754
0.66,1002
0.71,354
0.76,234
0.81,232
0.86,242
0.91,239
0.96,238
