"effort","total_infected"
0,3273
0.01,3143
0.06,2398
0.11,247
0.16,96
0.21,40
0.26,18
0.31,11
0.36,10
0.41,10
0.46,9
0.51,7
0.56,6
0.61,6
0.66,2
0.71,2
0.76,1
0.81,1
0.86,1
0.91,1
0.96,1
