"Effort","Median"
0,1256.26
5,1247.93
10,1119.22
15,995.03
20,929.39
25,896.57
30,852.4
35,795.64
40,744.81
45,740.31
50,733.55
55,719.6
60,698.1
65,687.55
70,662.83
75,631.1
80,598.54
85,557.02
90,501.2
95,423.05
100,264.02
