"Effort","Median"
0,0.000304043782304652
5,0.000302313231802899
10,0.000281667325028942
15,0.000260976820313803
20,0.000243319562781218
25,0.000225731616910198
30,0.000210235911376493
35,0.000194630491339279
40,0.000180982578874219
45,0.000164912496906428
50,0.00015375560358291
55,0.000141933477203693
60,0.000130795597631734
65,0.000118547825473057
70,0.000109552182219079
75,9.64963374002062e-05
80,8.45476424112274e-05
85,7.00058707691594e-05
90,5.83442541350913e-05
95,4.51697018080292e-05
100,1.9280566695645e-05
