"effort","total_infected"
0,3273
0.01,3239
0.06,3047
0.11,2845
0.16,2614
0.21,2402
0.26,2165
0.31,1910
0.36,1742
0.41,1552
0.46,1366
0.51,1083
0.56,930
0.61,803
0.66,665
0.71,524
0.76,398
0.81,295
0.86,58
0.91,26
0.96,1
