"effort","total_infected"
0,3273
0.01,3235
0.06,3009
0.11,2752
0.16,2547
0.21,2362
0.26,2124
0.31,1896
0.36,1631
0.41,1448
0.46,1250
0.51,1098
0.56,912
0.61,760
0.66,622
0.71,1
0.76,1
0.81,1
0.86,1
0.91,1
0.96,1
