"effort","total_infected"
0,1253
0.01,1216
0.06,1176
0.11,1137
0.16,1144
0.21,1137
0.26,1115
0.31,1113
0.36,1109
0.41,1118
0.46,1095
0.51,1006
0.56,1059
0.61,1062
0.66,1086
0.71,1072
0.76,1127
0.81,1123
0.86,1175
0.91,1197
0.96,1246
