time, s, i, r
0, 3285, 1, 0
1, 3283, 3, 0
2, 3188, 98, 0
3, 1979, 1307, 0
4, 689, 2597, 0
5, 237, 3048, 1
6, 60, 3223, 3
7, 22, 3190, 74
8, 7, 2210, 1069
9, 4, 1007, 2275
10, 1, 334, 2951
11, 0, 103, 3183
12, 0, 37, 3249
13, 0, 13, 3273
14, 0, 6, 3280
15, 0, 2, 3284
16, 0, 0, 3286
