time, s, i, r
0, 3285, 1, 0
1, 3283, 3, 0
2, 3257, 29, 0
3, 3212, 74, 0
4, 2950, 336, 0
5, 2321, 964, 1
6, 858, 2425, 3
7, 314, 2947, 25
8, 87, 3155, 44
9, 26, 3067, 193
10, 12, 2487, 787
11, 5, 1211, 2070
12, 2, 449, 2835
13, 1, 135, 3150
14, 0, 48, 3238
15, 0, 17, 3269
16, 0, 7, 3279
17, 0, 4, 3282
18, 0, 1, 3285
19, 0, 0, 3286
