time, s, i, r
0, 3285, 1, 0
1, 3275, 11, 0
2, 3189, 97, 0
3, 2925, 361, 0
4, 1627, 1659, 0
5, 703, 2582, 1
6, 284, 2999, 3
7, 85, 3181, 20
8, 27, 2955, 304
9, 12, 1976, 1298
10, 6, 945, 2335
11, 2, 375, 2909
12, 2, 137, 3147
13, 0, 45, 3241
14, 0, 18, 3268
15, 0, 8, 3278
16, 0, 4, 3282
17, 0, 2, 3284
18, 0, 0, 3286
