time, s, i, r
0, 3285, 1, 0
1, 3283, 3, 0
2, 3283, 3, 0
3, 3216, 70, 0
4, 2710, 576, 0
5, 2201, 1084, 1
6, 920, 2365, 1
7, 259, 3024, 3
8, 86, 3140, 60
9, 19, 2931, 336
10, 10, 2485, 791
11, 3, 1235, 2048
12, 2, 424, 2860
13, 0, 120, 3166
14, 0, 39, 3247
15, 0, 12, 3274
16, 0, 6, 3280
17, 0, 3, 3283
18, 0, 0, 3286
