time, s, i, r
0, 3285, 1, 0
1, 3283, 3, 0
2, 3283, 3, 0
3, 3182, 104, 0
4, 2955, 331, 0
5, 2223, 1062, 1
6, 797, 2488, 1
7, 374, 2909, 3
8, 80, 3193, 13
9, 23, 3088, 175
10, 11, 2397, 878
11, 3, 1150, 2133
12, 2, 482, 2802
13, 0, 146, 3140
14, 0, 41, 3245
15, 0, 12, 3274
16, 0, 7, 3279
17, 0, 2, 3284
18, 0, 0, 3286
