time, s, i, r
0, 3285, 1, 0
1, 3275, 11, 0
2, 3275, 11, 0
3, 3035, 251, 0
4, 2372, 914, 0
5, 1162, 2123, 1
6, 476, 2809, 1
7, 171, 3104, 11
8, 49, 3085, 152
9, 18, 2673, 595
10, 9, 1465, 1812
11, 3, 672, 2611
12, 2, 237, 3047
13, 0, 80, 3206
14, 0, 29, 3257
15, 0, 13, 3273
16, 0, 6, 3280
17, 0, 2, 3284
18, 0, 0, 3286
