time, s, i, r
0, 3285, 1, 0
1, 3265, 21, 0
2, 2967, 319, 0
3, 2036, 1250, 0
4, 824, 2462, 0
5, 409, 2876, 1
6, 101, 3175, 10
7, 27, 3124, 135
8, 12, 2292, 982
9, 6, 1155, 2125
10, 2, 523, 2761
11, 2, 155, 3129
12, 0, 53, 3233
13, 0, 18, 3268
14, 0, 6, 3280
15, 0, 6, 3280
16, 0, 2, 3284
17, 0, 0, 3286
