time, s, i, r
0, 3285, 1, 0
1, 3284, 2, 0
2, 3284, 2, 0
3, 3274, 12, 0
4, 2916, 370, 0
5, 2262, 1023, 1
6, 1074, 2211, 1
7, 414, 2870, 2
8, 147, 3131, 8
9, 50, 3104, 132
10, 16, 2578, 692
11, 8, 1391, 1887
12, 3, 572, 2711
13, 2, 214, 3070
14, 1, 69, 3216
15, 0, 27, 3259
16, 0, 12, 3274
17, 0, 5, 3281
18, 0, 3, 3283
19, 0, 1, 3285
20, 0, 0, 3286
