time, s, i, r
0, 3285, 1, 0
1, 3277, 9, 0
2, 3139, 147, 0
3, 2339, 947, 0
4, 1232, 2054, 0
5, 478, 2807, 1
6, 186, 3095, 5
7, 52, 3166, 68
8, 17, 2639, 630
9, 10, 1534, 1742
10, 4, 684, 2598
11, 2, 246, 3038
12, 1, 88, 3197
13, 0, 31, 3255
14, 0, 13, 3273
15, 0, 6, 3280
16, 0, 3, 3283
17, 0, 1, 3285
18, 0, 0, 3286
