time, s, i, r
0, 3285, 1, 0
1, 3284, 2, 0
2, 3284, 2, 0
3, 3194, 92, 0
4, 2944, 342, 0
5, 2226, 1059, 1
6, 1062, 2223, 1
7, 403, 2881, 2
8, 111, 3113, 62
9, 47, 3035, 204
10, 18, 2562, 706
11, 9, 1384, 1893
12, 3, 570, 2713
13, 2, 166, 3118
14, 0, 75, 3211
15, 0, 29, 3257
16, 0, 13, 3273
17, 0, 6, 3280
18, 0, 2, 3284
19, 0, 0, 3286
