time, s, i, r
0, 3285, 1, 0
1, 3280, 6, 0
2, 3181, 105, 0
3, 2982, 304, 0
4, 2058, 1228, 0
5, 888, 2397, 1
6, 274, 3010, 2
7, 74, 3196, 16
8, 21, 3047, 218
9, 9, 2316, 961
10, 5, 1175, 2106
11, 2, 400, 2884
12, 0, 119, 3167
13, 0, 40, 3246
14, 0, 13, 3273
15, 0, 7, 3279
16, 0, 4, 3282
17, 0, 0, 3286
