time, s, i, r
0, 3285, 1, 0
1, 3280, 6, 0
2, 3279, 7, 0
3, 3066, 220, 0
4, 2808, 478, 0
5, 2055, 1230, 1
6, 639, 2645, 2
7, 258, 3021, 7
8, 53, 3117, 116
9, 20, 2954, 312
10, 10, 2280, 996
11, 4, 964, 2318
12, 2, 341, 2943
13, 0, 97, 3189
14, 0, 34, 3252
15, 0, 12, 3274
16, 0, 7, 3279
17, 0, 3, 3283
18, 0, 0, 3286
