time, s, i, r
0, 3285, 1, 0
1, 3280, 6, 0
2, 3096, 190, 0
3, 1866, 1420, 0
4, 825, 2461, 0
5, 314, 2971, 1
6, 98, 3186, 2
7, 41, 3158, 87
8, 12, 2334, 940
9, 7, 1096, 2183
10, 2, 440, 2844
11, 2, 151, 3133
12, 0, 57, 3229
13, 0, 23, 3263
14, 0, 8, 3278
15, 0, 5, 3281
16, 0, 2, 3284
17, 0, 0, 3286
