"effort","total_infected, edges_closed"
0,1267
0.01,1218
0.06,1399
0.11,1365
0.16,1452
0.21,1487
0.26,1537
0.31,1583
0.36,1620
0.41,1641
0.46,1704
0.51,1713
0.56,1721
0.61,1784
0.66,1775
0.71,1707
0.76,1596
0.81,1409
0.86,973
0.91,379
0.96,230
