"effort","total_infected, edges_closed"
0,1236
0.01,1265
0.06,1408
0.11,1395
0.16,1466
0.21,1489
0.26,1573
0.31,1570
0.36,1619
0.41,1666
0.46,1719
0.51,1782
0.56,1775
0.61,1834
0.66,1832
0.71,1818
0.76,1690
0.81,1534
0.86,1191
0.91,505
0.96,297
