"effort","total_infected, edges_closed"
0,1240
0.01,1226
0.06,1369
0.11,1373
0.16,1400
0.21,1463
0.26,1534
0.31,1568
0.36,1633
0.41,1657
0.46,1707
0.51,1742
0.56,1761
0.61,1790
0.66,1812
0.71,1704
0.76,1585
0.81,1401
0.86,1002
0.91,426
0.96,236
