"effort","total_infected, edges_closed"
0,1243
0.01,1244
0.06,1443
0.11,1358
0.16,1426
0.21,1492
0.26,1553
0.31,1617
0.36,1621
0.41,1670
0.46,1719
0.51,1736
0.56,1763
0.61,1802
0.66,1808
0.71,1706
0.76,1506
0.81,1323
0.86,998
0.91,347
0.96,145
