"effort","total_infected, edges_closed"
0,1233
0.01,1235
0.06,1362
0.11,1326
0.16,1460
0.21,1481
0.26,1531
0.31,1544
0.36,1613
0.41,1618
0.46,1717
0.51,1747
0.56,1768
0.61,1823
0.66,1777
0.71,1621
0.76,1560
0.81,1311
0.86,966
0.91,364
0.96,190
