"effort","total_infected, edges_closed"
0,1264
0.01,1236
0.06,1405
0.11,1384
0.16,1460
0.21,1505
0.26,1573
0.31,1572
0.36,1625
0.41,1679
0.46,1740
0.51,1814
0.56,1816
0.61,1866
0.66,1896
0.71,1815
0.76,1744
0.81,1586
0.86,1230
0.91,520
0.96,311
