"effort","total_infected, edges_closed"
0,1257
0.01,1233
0.06,1293
0.11,1263
0.16,1252
0.21,1240
0.26,1267
0.31,1228
0.36,1259
0.41,1270
0.46,1259
0.51,1255
0.56,1229
0.61,1261
0.66,1283
0.71,1274
0.76,1243
0.81,1237
0.86,1276
0.91,1229
0.96,1280
