"effort","total_infected, edges_closed"
0,1267
0.01,1244
0.06,1413
0.11,1333
0.16,1443
0.21,1464
0.26,1498
0.31,1510
0.36,1524
0.41,1585
0.46,1597
0.51,1618
0.56,1613
0.61,1596
0.66,1525
0.71,1392
0.76,915
0.81,611
0.86,158
0.91,29
0.96,15
