"effort","total_infected, edges_closed"
0,1241
0.01,1251
0.06,1361
0.11,1355
0.16,1397
0.21,1471
0.26,1498
0.31,1490
0.36,1548
0.41,1575
0.46,1606
0.51,1637
0.56,1635
0.61,1618
0.66,1564
0.71,1380
0.76,959
0.81,590
0.86,240
0.91,37
0.96,10
